Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3sK8wGT43QFpWrvNQsrQya,"DtMF","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,237117,100,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:53:00Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC.",0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
spotify:track:5TFD2bmFKGhoCRbX61nXY5,"NUEVAYoL","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,183685,97,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:53:03Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC.",0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
spotify:track:2lTm559tuIvatlT1u0JYG2,"BAILE INoLVIDABLE","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,367725,98,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:53:10Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC.",0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
spotify:track:6VNXmo59yDYgcwLS17UNAW,"CAFé CON RON","DeBÍ TiRAR MáS FOToS","Bad Bunny;Los Pleneros de la Cresta",2025-01-05,228836,88,false,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:53:14Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC.",0.328,0.153,9,-26.802,1,0.0564,0.148,0.00000128,0.397,0.0376,95.506,4
spotify:track:6J5kc12BW5HuP3d7C3vvx8,"EoO","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,204768,95,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:53:17Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC.",0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4
spotify:track:0iKo4pNNjHHdKUcFARlfCa,"EL CLúB","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,222568,84,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:53:21Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC.",0.516,0.611,10,-5.486,0,0.0555,0.458,0.0000534,0.113,0.261,110.744,4
spotify:track:4MjDJD8cW7iVeWInc2Bdyj,"MONACO","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,267194,88,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:53:28Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC",0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4
spotify:track:3nNmRE0DxHC6ZaKkrpUumS,"FINA","nadie sabe lo que va a pasar mañana","Bad Bunny;Young Miko",2023-10-13,216327,78,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:53:31Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC",0.847,0.724,1,-5.41,1,0.298,0.0869,0.00000111,0.118,0.396,94.601,4
spotify:track:2sTDlCxmuZCTDKKk9f1qus,"WHERE SHE GOES","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,231704,76,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:53:36Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC",0.651,0.799,9,-4.02,0,0.0611,0.143,0.634,0.112,0.223,143.992,4
spotify:track:1ODFVLQszq0hCOdZtqV5wq,"MR. OCTOBER","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,189258,74,true,vnubrek2s9o1fzz7lu062vu04,2026-02-15T16:53:40Z,"reggaetón,trap latino,latina,urbano latino","Rimas Entertainment LLC",0.805,0.612,8,-5.682,0,0.172,0.188,0.0000196,0.134,0.425,126.013,4
