TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,1.98301,0.197751,0.215353,0.0939036,1.29967,0.000112501,0.204748,0.694231,0.193805,0.362737,0.25193,0.080103
0.046439909,2.06663,0.174574,0.37091,0.0842155,1.19307,0.00285619,0.225081,0.889766,0.123805,0.358523,0.401596,0.0206262
0.092879819,2.02863,0.279596,0.226321,0.106898,1.23887,0,0.176311,1.11407,0.00998918,0.244552,0.459869,0.0141175
0.139319728,1.86983,0.144453,0.0375047,0.018411,0.557567,0,0.0299476,0.923937,1.02361,0.171343,0.308682,0.00801246
0.185759637,1.65918,0.269092,0.0415182,0.115328,0.501582,0.0012438,0.00911052,0.892549,0.809089,0.0407112,0.50293,0.000135716
0.232199546,1.54761,0.417189,0.0324876,0.115689,0.532233,0,0.00914568,0.379003,0.645564,0.0373945,0.911438,0.0116587
0.278639456,1.50298,0.451276,0.0302759,0.0720159,0.432214,0.0057277,0.00412708,0.326793,0.542881,0.0369568,1.00084,0.0147673
0.325079365,1.57293,0.48803,0.0285624,0.0245076,0.276585,0.00523413,0.000328779,0.739815,0.432752,0.0347975,0.93657,0.0179535
0.371519274,1.5577,0.443211,0.019401,0.0732098,0.574118,0.00157069,0.00122067,0.761226,0.30655,0.0569227,0.769354,0.0170061
0.417959184,1.61887,0.228197,0.272272,0.199748,0.782502,0.00166333,0,0.96574,0.176363,0.048589,0.45213,0.025954
0.464399093,1.49926,0.245315,0.562025,0.236969,1.16107,0,0,0.918943,0.159494,0.051614,0.10648,0.0659203
0.510839002,1.43365,0.246361,0.628169,0.294653,1.34966,0,0,0.571699,0.221788,0.0503776,0.0391238,0.158241
0.557278912,1.42202,0.241956,0.543116,0.320674,1.40752,0,0,0.600087,0.26992,0.0578956,0.0320481,0.105376
0.603718821,1.48603,0.346588,0.427508,0.310755,1.36089,0,0,0.686675,0.312413,0.0463541,0.0147442,0.109295
0.650158730,1.58624,0.380045,0.235538,0.196358,1.28557,9.69831e-05,0.00109152,0.814895,0.407431,0.00153696,0.373239,0.0167646
0.696598639,1.41124,0.650293,0.175225,0.736061,0.779301,0,0,0.837804,0.126801,0.00155838,0.455838,0.23862
0.743038549,1.31656,0.964874,0.203736,1.06859,0.662946,0,0.0621256,0.817131,0.0737742,0.0543033,0.0993288,0.329509
0.789478458,1.31224,0.884212,0.230238,1.07596,0.593749,0.000814924,0.0570596,0.948262,0.00123273,0.165442,0.0168007,0.271618
0.835918367,1.3235,0.717627,0.192946,0.931267,0.486194,0.0438566,0.217147,1.0323,0,0.172785,0,0.29396
0.882358277,1.27127,0.573932,0.301295,0.721315,0.693248,0.0193961,0.218594,1.15448,0,0.122933,0,0.279516
0.928798186,1.27811,0.249534,0.704627,0.324909,0.831366,0.0113564,0.090658,1.02685,0,0.151687,0.298555,0.307066
0.975238095,2.00909,0.284865,0,0,0.877865,0.00592647,0.0373259,0.818036,0,0.261227,0.685398,0.299808
1.021678005,1.72468,0.358667,0.000651469,0.0270968,0.835849,0.00170638,0.037651,0.846259,0,0.272408,0.794407,0.287278
1.068117914,1.54548,0.364318,0.307771,0.0485192,0.846884,0.00118844,0.0175924,0.72482,0.0383205,0.215089,0.790799,0.281529
1.114557823,1.41992,0.309483,0.523691,0.0123239,1.07758,0.00314516,0.0474675,0.659702,0.0944321,0.146099,0.727991,0.234786
1.160997732,1.56985,0.141837,0.568598,0.0484901,1.2511,0.00646569,0.059297,0.654528,0.0870996,0.131433,0.605132,0.192721
1.207437642,1.60607,0.13736,0.000436194,0.181659,0.950229,0.0125508,0.0686521,0.63001,0.0277805,0.185556,0.432253,0.280356
1.253877551,1.40199,0.753774,0.0567927,0.15787,0.859329,0.00556626,0.123949,0.712679,0.0382667,0.110385,0.142839,0.244416
1.300317460,1.36627,0.891849,0.0544434,0.21755,0.851318,0,0.077254,0.905188,0.0360456,0.0293497,0.0658092,0.115994
