TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-513.99,3.54719,20.1197,15.1581,14.6277,11.7335,7.74666,2.35808,0.0546935,0.573469,2.39644,1.8946,0.268205,-1.46851,-0.735239,1.20082,-0.714949,-0.71365,-1.27529,-1.60356,0.973123
0.023219955,-404.063,40.2046,38.5339,20.7649,14.6485,7.92576,2.74067,2.62248,0.942873,0.529381,1.08055,-1.16992,-1.39781,-1.5247,0.151331,2.03301,1.31566,0.440174,0.968193,-1.57788,-1.22475
0.046439909,-412.515,39.2761,48.8135,28.4186,14.2402,4.35654,2.46341,-0.414394,0.582891,2.34554,1.14045,-1.69474,-0.0580393,-0.946848,-1.40562,0.35475,0.721692,-0.515375,0.390893,-0.283184,0.92936
0.069659864,-409.84,39.452,46.3828,26.0118,12.3851,2.48083,3.12541,-0.385777,-0.300686,-0.238801,0.33218,0.1141,-0.861527,-2.73778,-2.20565,-0.905716,-0.1743,1.93987,3.25086,2.20052,1.23522
0.092879819,-412.325,39.047,48.0951,26.1378,12.6168,4.49595,2.93352,0.605305,0.857893,-0.469113,-0.868665,-0.912119,-0.698409,-3.78083,-1.9171,-0.327501,1.59608,-0.348958,0.815775,0.671843,-0.88595
0.116099773,-416.025,37.485,47.6973,26.6486,14.485,3.57578,3.15484,1.39812,0.762824,2.55136,1.91323,-1.47931,-1.55354,-1.06053,-0.261569,1.48811,1.26418,-0.657101,-1.69247,-1.00034,0.954099
0.139319728,-414.786,36.0137,46.3771,25.4832,12.6698,2.22491,2.28936,0.17308,0.712587,1.81477,-0.143605,0.736689,0.604796,1.72547,-0.143921,2.18964,1.68341,-0.882971,-0.0712066,-0.887827,-1.1468
0.162539683,-414.233,36.5271,47.7767,24.3514,12.3017,2.95788,0.650983,1.51777,1.85396,0.757467,1.85016,0.0605392,-0.69442,-2.05261,-0.522412,-0.0980826,-2.39102,-1.03466,-0.581345,-2.12813,-0.884084
0.185759637,-416.336,36.2764,48.538,26.7743,12.8661,2.61039,1.67306,1.98656,3.57217,2.87421,-0.249658,0.854264,-0.695899,-2.32246,-0.755967,0.54583,-0.154854,-1.20852,-1.30426,-0.890158,-1.74001
0.208979592,-412.575,37.6121,44.4975,24.5836,14.6348,6.11148,2.73616,3.46427,2.16914,-2.13988,-0.221687,-0.984446,0.427854,0.112517,0.887524,0.489147,-0.659153,0.0339629,-1.36326,-1.04134,-1.58637
0.232199546,-413.908,37.7002,46.7642,26.9778,12.9869,3.11553,1.97013,0.145992,-0.279252,-1.14648,-2.97437,-2.48503,-1.05906,0.78595,-0.00391222,-1.49955,-2.11946,-0.317648,1.63247,1.00998,-0.566476
0.255419501,-417.131,36.3743,47.2875,24.9215,13.5787,4.51065,0.0530737,-1.66421,-1.90374,-0.413105,-0.297313,0.993023,-0.660883,-1.44131,-0.927142,0.106659,0.586815,-0.886441,1.12408,0.324585,1.39639
0.278639456,-362.805,64.2063,35.2321,1.04574,-1.48688,-3.32665,-3.49292,-2.12058,2.16605,6.70513,5.17874,4.58856,3.3672,2.67932,-1.26167,-1.32332,-0.950095,-1.44139,1.35792,-0.989073,-1.12553
0.301859410,-375.795,60.9626,37.0292,4.91846,1.18343,-2.92748,-6.83103,-4.43002,3.92902,9.60324,13.7219,8.69905,0.599672,-3.58251,-3.51835,-5.96204,-5.88049,-3.2839,-0.584039,3.43417,5.26333
0.325079365,-384.141,56.4901,37.5618,4.50229,-4.17902,-6.51188,-4.37964,-2.1723,2.74345,10.6582,12.5773,4.91193,-1.24964,-3.72444,-4.39006,-1.93714,-1.78565,-2.87508,-0.354601,4.06586,6.69772
0.348299320,-385.442,56.3511,40.3527,6.39232,-4.68206,-6.10237,-2.08191,-1.08688,2.4038,11.3742,12.8895,5.46606,0.293743,-4.72225,-4.67803,-5.55175,-4.51912,-4.54204,-1.63588,6.15325,8.20885
0.371519274,-380.791,54.5476,39.5805,5.11558,-3.29288,-6.4825,-3.85297,-1.67025,4.03309,9.4751,13.335,6.87366,0.355562,-3.84225,-2.96824,-0.903479,-3.09857,-2.68635,1.21008,6.549,5.35161
0.394739229,-378.207,55.8416,37.5763,5.0609,-2.46705,-3.79344,-1.87188,-0.669337,2.08862,9.72057,10.6193,5.00149,-0.850084,-4.08022,-3.179,-4.02768,-3.63229,-1.80714,1.46494,3.88291,3.91515
0.417959184,-376.3,54.2804,32.7314,4.92842,-0.101492,-3.96366,-4.76624,-3.0361,3.8443,11.2459,14.0256,5.80509,0.29384,-5.50024,-6.46453,-6.01083,-6.58868,-3.94923,0.119012,4.26213,4.70098
0.441179138,-382.255,54.289,39.061,6.92487,-3.58194,-8.33566,-6.53453,-3.49427,0.63414,8.33772,11.6064,4.56551,-2.4041,-6.64781,-5.3794,-4.5176,-5.41384,-5.1399,-0.510894,5.37911,5.74729
0.464399093,-383.727,54.2667,38.2634,8.20456,-3.99491,-7.47722,-5.04455,-2.81392,0.71894,8.08215,12.2323,5.17742,-2.9981,-6.12979,-5.86454,-3.0896,-5.17988,-5.47455,-0.32117,5.17829,5.67705
0.487619048,-376.47,55.5182,31.043,-1.9635,-1.75754,-1.82269,-1.55129,-2.12976,3.26481,10.5751,10.9372,5.17911,-0.789861,-3.22387,-6.08199,-5.9708,-4.94609,-1.99354,1.08976,3.72365,6.06457
0.510839002,-386.685,51.4642,36.6482,4.56803,-3.50393,-7.05729,-3.73889,0.0412617,4.71248,11.5574,16.6778,9.37518,0.664414,-3.00822,-4.06285,-3.98933,-5.12158,-5.14832,-1.53735,3.71052,6.53089
0.534058957,-374.597,58.931,36.3547,3.39983,-1.61424,-3.93468,-2.81712,-3.47188,1.53653,9.77122,14.1814,6.72468,1.84834,-2.92777,-5.98471,-6.34839,-5.37246,-3.80367,0.466537,5.14741,5.48751
0.557278912,-346.272,70.447,25.5176,-9.90508,-4.88617,-3.5846,-3.86303,7.06202,17.476,10.4276,-4.28361,-8.27961,-1.19729,-2.01128,-4.77126,0.947879,5.92249,2.28845,-6.40927,-4.66475,2.88285
0.580498866,-352.461,65.8687,23.869,-8.03117,-1.96341,-3.63856,-2.29233,7.90294,18.8385,12.5862,-2.87246,-9.18544,-5.21546,-5.3496,-7.02904,0.0673011,7.35825,3.18171,-6.65725,-2.84125,4.66831
0.603718821,-356.584,63.6659,25.8082,-5.21146,-2.5948,-4.32383,-3.07563,8.33393,21.4568,15.417,-3.88474,-9.64664,-4.56152,-1.26198,-3.15166,3.36519,9.99343,4.11005,-4.53933,-3.3149,4.59448
0.626938776,-354.331,65.0566,25.1996,-4.94315,-0.188048,-1.39257,-0.791897,11.154,23.0933,12.7378,-2.13243,-8.11455,-3.76483,-2.93141,-5.0024,0.918722,7.06802,3.03269,-5.68537,-3.98425,1.50417
0.650158730,-354.508,67.3297,24.2105,-8.22889,-1.31438,-1.08876,-0.575524,12.7908,22.4397,14.0726,-2.47411,-7.85911,-4.40662,-2.90192,-4.53481,1.5846,4.62799,0.551629,-6.05014,-3.8308,3.35224
0.673378685,-352.886,69.3887,21.8325,-6.83947,-3.74198,-2.91522,-0.706113,11.1925,20.7116,10.8275,-4.04179,-10.546,-1.98907,-3.34435,-4.56168,0.314833,4.7327,-0.335933,-4.45535,-2.25183,4.48395
0.696598639,-354.839,67.0855,26.0524,-3.9711,-0.5559,-0.0818509,1.2688,10.6858,19.4629,11.9325,-6.40768,-9.92459,-4.3201,-3.08725,-4.41979,1.25479,7.56148,3.3541,-5.76576,-4.04703,4.58565
0.719818594,-350.733,67.8399,27.5839,-6.40804,-0.260108,-1.3182,-1.34312,11.3736,20.3759,13.9169,-2.49534,-7.76942,-3.39591,-6.09453,-7.59444,1.50397,5.7814,1.17194,-5.12132,-4.39106,2.6484
0.743038549,-355.82,64.416,23.4419,-4.51669,-3.86399,-3.64129,-0.407716,10.7229,21.8514,15.7616,-0.227673,-7.11797,-5.13156,-4.43238,-6.64977,-3.20477,3.09753,0.283099,-4.85666,-2.46018,4.62246
0.766258503,-374.163,60.311,37.0445,2.08522,-5.76835,-6.07924,-1.37172,5.14761,12.9187,14.865,8.63468,-3.79448,-6.1381,-2.90755,-5.45145,-3.11841,0.890719,5.79218,4.78799,-0.893169,-1.02386
0.789478458,-376.903,58.17,39.3354,6.45546,-4.36807,-6.1759,-0.540346,4.46785,8.20762,11.2149,8.48759,2.22528,-2.59492,-2.42033,-1.82675,0.256317,-0.413371,-0.00418363,0.495938,0.286405,0.625119
0.812698413,-342.37,74.0126,20.3175,-13.9173,-5.33402,-3.58451,-5.06512,-0.176987,9.72716,12.4635,6.16178,1.13176,2.25505,4.18837,1.2054,-1.78112,0.728258,0.702457,-2.44742,-7.67907,-3.66714
0.835918367,-358.419,66.1092,28.1679,-7.56967,-3.78312,-1.5021,-4.8312,2.45604,18.2616,21.5954,6.27929,-8.63187,-5.25009,-1.68625,-4.01157,-4.48396,4.45885,10.1683,3.54661,-4.82476,-3.0759
0.859138322,-359.921,61.8446,25.482,-6.78259,-3.05795,-1.85119,-1.99842,4.74253,18.4755,19.2276,6.54097,-6.5422,-4.27935,-0.458216,-4.80111,-2.64635,6.24586,10.4923,5.58513,-1.83285,-3.20049
0.882358277,-365.944,60.4667,29.0616,-4.77889,-2.32142,0.0165563,1.1308,5.17585,15.8738,18.3404,3.85104,-7.99628,-6.44996,-1.79037,-5.08579,-4.93381,1.61826,9.43567,4.02111,-3.48527,-2.8829
0.905578231,-349.627,64.8357,21.7959,-6.89725,-1.13407,-2.83007,-3.06573,6.05369,19.029,18.5582,6.11284,-6.17521,-3.85108,-3.64838,-5.86431,-4.24636,2.28678,5.07699,2.4106,-4.05825,-4.94052
0.928798186,-361.643,61.845,27.6193,-2.27846,-0.249094,-0.265882,0.137684,7.02642,18.0573,20.2717,6.40892,-9.479,-6.0448,-3.84606,-7.66928,-5.15748,2.80656,7.49648,5.966,-4.11442,-1.89818
0.952018141,-362.988,61.9926,28.5372,-1.01016,-0.445936,-0.359423,-1.55283,4.92763,16.7257,19.9017,5.05641,-9.2078,-7.61211,-2.28636,-4.69697,-5.2543,3.66315,9.87239,4.30545,-4.38824,-3.07008
0.975238095,-362.04,61.1378,28.0191,-5.00862,-2.3759,-1.89884,-0.88657,4.39061,15.7633,17.2585,2.34072,-6.91621,-7.15189,-1.45394,-3.56418,-3.30991,4.97635,8.01953,1.91459,-4.45978,-4.68835
0.998458050,-364.137,62.0949,28.9166,-5.39161,-2.01995,-0.464855,-3.18032,2.30768,17.7366,23.6075,6.5388,-8.20284,-6.82158,-0.863162,-4.82322,-4.80193,4.8832,9.3187,3.39043,-5.36909,-4.68595
1.021678005,-355.548,63.5794,22.7971,-7.10345,0.0771659,0.770834,0.56808,6.1223,20.0143,20.669,5.53767,-6.4793,-5.41537,-4.5318,-6.41794,-4.65317,2.11571,7.82943,4.18598,-4.2591,-5.77139
1.044897959,-366.27,61.9813,35.4852,0.626653,-4.03025,-3.67791,-1.14029,4.21721,14.0691,16.1091,7.00963,-6.55616,-9.02833,-4.77333,-1.83699,-1.57636,-1.0853,3.30193,3.92224,-0.855078,-3.11279
1.068117914,-373.631,59.1267,38.8996,5.0278,-3.02512,-6.33572,0.0261705,6.41718,10.8534,12.1699,7.71274,-5.34352,-9.45615,-5.14005,-3.62032,-3.8774,-1.49101,1.55006,2.50185,2.24995,-1.05737
1.091337868,-382.44,55.8511,44.506,9.48396,-4.43639,-6.18192,2.85884,10.3952,11.1489,9.91012,2.10465,-6.09963,-9.25231,-5.06569,-0.711895,0.80044,0.925842,0.431353,0.0484102,-0.506517,-0.238841
1.114557823,-370.166,61.7004,34.7758,2.35159,-2.46374,-2.2357,0.778868,7.16462,13.7457,12.6408,-0.627564,-9.27064,-5.86656,-2.07166,-3.12807,-2.6963,2.14574,3.78927,1.52007,-1.14426,-1.88434
1.137777778,-377.544,59.7531,36.696,2.33415,-2.26255,-1.15006,2.92432,7.25738,15.4223,12.6226,-1.48458,-12.6229,-9.28091,-4.09946,-3.93469,-2.54864,1.61152,4.58165,1.71096,-3.3047,-2.34114
1.160997732,-375.619,58.4317,37.1764,4.29322,-3.00925,-2.55658,2.94648,9.41607,12.823,10.9879,1.06618,-8.66611,-6.55805,-2.14915,-2.73507,-1.85492,1.43423,2.09206,1.11505,-4.11214,-1.5497
1.184217687,-378.797,54.3319,37.9295,7.94899,-2.49459,-7.21952,-1.25071,7.08846,14.3536,12.8701,2.00718,-7.35141,-6.09184,2.31344,0.120884,-1.46923,2.31001,4.80904,2.34227,-1.55236,-2.02471
1.207437642,-377.323,55.5414,36.5554,5.26005,-2.46571,-6.30434,0.643109,7.10553,13.9469,13.3826,0.39271,-8.44336,-7.4792,-1.14149,-2.52929,-4.21591,-0.911501,3.63311,3.00771,-2.37686,-0.915738
1.230657596,-373.473,56.7054,34.6663,3.07467,-1.23592,-4.21355,-1.34239,6.67266,13.8753,12.1396,0.636775,-8.1078,-7.39966,-2.89351,-5.15009,-4.91706,1.31475,5.43028,3.05516,-2.2806,-1.34701
1.253877551,-378.783,58.8684,34.8086,2.68235,-2.48262,-2.57036,1.37888,8.47189,13.2971,10.9279,1.81825,-6.11615,-8.4091,-4.31338,-3.36905,-1.49538,4.01231,5.10422,2.46139,-1.08765,-0.221473
