TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.149242,0.0320227,0.00146772,2.71894,0,0.178884,3.03036,0.442216,0.145643,0.0262083,1.55112,0.000763104
0.046439909,0.176047,0.00186936,0.00292961,3.06368,0,0.07392,3.16468,0.166021,0.00091666,0.0244829,1.56815,0.000694883
0.092879819,0.137132,0.00194285,0.00395018,3.34714,0,0,3.10433,0.213479,0.000890375,0.000374094,1.71785,0.0448553
0.139319728,0,0.00130306,0.106232,3.35344,0,0,2.95985,0.0405591,0.000317129,0.0425023,1.44671,0.163853
0.185759637,0.149077,0.128237,0.11397,3.16949,0.0373234,0,2.7232,0.00736576,0,0.197748,1.12498,0.313177
0.232199546,0.110663,0.180877,0.0978517,3.37363,0.0685562,2.59732e-05,2.78293,0,0,0.162387,1.63022,0.164915
0.278639456,0,0.127098,0.0490141,3.39417,0.0455692,0.00630982,3.01605,0,0,0.153451,1.93312,0.163259
0.325079365,0.173876,0.219471,0.00156574,2.83591,0,0.0114064,2.69416,0.361861,0,0.245287,2.21372,0.160507
0.371519274,0.204496,0.256424,0.0736564,2.43203,0,0.0997493,2.5155,0.475616,0,0.229984,2.24133,0.0602277
0.417959184,0.134518,0.212288,0.0307842,2.34509,0.0492319,0.424293,2.15172,0.304339,0.0185378,0.193727,2.14926,0.00188255
0.464399093,0.136939,0,0,2.61267,0.103547,0.23328,2.2376,0.105211,0.0241822,0.134268,1.80779,0.000755105
0.510839002,0.171618,0,0.000548509,2.7998,0.109306,0.0613034,2.2119,0.0179098,0.0703354,0.146818,1.57814,0.0346479
0.557278912,0.244876,0,0.0589841,2.72858,0.0915294,0.0575154,2.00775,0,0.183017,0.249537,1.41656,0.275156
0.603718821,0.189892,0,0.0026429,2.75751,0.0968029,0.0513706,2.10555,0.00601862,0.106571,0.194759,1.5484,0.132721
0.650158730,0.0350522,0,0.00302369,2.65374,0.100237,0.0408858,2.49411,0.00359384,0.0382774,0.138266,1.71543,0.0663052
0.696598639,0.000171407,0.00293645,0.0702949,2.6029,0.0743336,0.511959,2.72479,0,0.0295603,0.00302616,2.08924,0.0342121
0.743038549,0.000340742,0.00288243,0.0521641,2.7629,0.0225238,0.466554,2.80656,0,0.0158527,0.00596088,2.22339,0.00594509
0.789478458,0.0204893,0.0244781,0.0731831,3.0349,0.0151686,0.461878,2.4848,0.085833,0.0174291,0.00656037,2.30215,0.00789963
0.835918367,0.0158266,0.0473042,0.214625,2.7878,0.00447917,0.49512,1.83217,0.11397,0.971853,0.384663,2.14598,0
0.882358277,0.04667,0.00699155,0.0421021,1.97752,0.0442157,0.0988712,1.32249,0.762695,1.51081,0.34767,1.30148,0.517719
0.928798186,0.141197,0.0108843,0.0137937,1.66724,0.0336085,0.184907,1.08376,0.732916,1.54641,0.488506,1.35057,0.791346
0.975238095,0.23363,0.00392391,0.0084185,1.25867,0.143518,0.0917577,0.707088,0.761464,1.26452,0.598281,1.66267,0.64383
1.021678005,0.274856,0.00221329,0.00890843,1.16598,0.220706,0.103448,0.558961,0.775456,0.956551,0.640715,1.82258,0.62506
1.068117914,0.332545,0.0015728,0.0114489,1.20652,0.271676,0.171611,0.815401,0.751824,0.610503,0.67832,1.85327,0.579962
1.114557823,0.273247,0.00124842,0.0200786,1.50412,0.321755,0.0954475,1.35779,0.663123,0.243093,0.66306,1.72699,0.687722
1.160997732,0.135242,0.00806331,0.0496393,1.93993,0.321434,0.152715,1.48032,0.384733,0.831094,0.438021,2.40662,0.420642
1.207437642,0.000476806,0.00438765,0.0967642,2.17194,0.340077,0.528142,1.88595,0.0755773,0.904439,0.248576,3.01389,0
1.253877551,0.026503,0.0030846,0.000688297,1.85483,0.509874,0.483106,1.44604,0,0.461722,0.00352638,2.73152,0.14879
1.300317460,0.101169,0.00247132,0.0730401,1.65613,0.451831,0.477086,1.45105,0,0.181495,0.0124892,2.67512,0.204481
1.346757370,0.0946176,0.00234472,0.0256357,2.03613,0.392152,0.494623,1.61036,0,0.405794,0.0409099,2.50481,0.263213
1.393197279,0.000670721,0.00384274,0.0346876,2.25006,0.399648,0.375929,1.54658,0,0.5595,0.0647272,2.43758,0.156027
