TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.023219955,-586.859,-26.4745,1.3988,-4.06662,1.07404,-0.576148,1.39705,2.98426,2.88908,2.45049,0.0113077,-0.68411,-0.11241,0.18856,0.545151,-2.22402,-0.406741,-1.08226,-0.371025,-0.140567,0.966486
0.046439909,-481.517,4.79716,18.4502,-3.95057,0.269863,-5.37408,1.00071,-2.89833,1.51319,-0.922749,-0.0125939,-2.25702,0.760303,-1.22377,2.55196,0.513208,-0.244332,-1.22692,0.0698695,0.0618956,1.0268
0.069659864,-261.6,18.0134,20.0827,3.62643,-6.35389,-9.837,-9.50128,-9.83816,-10.4626,-11.0156,-10.8624,-7.52547,-2.87227,-0.263206,-2.1404,3.14733,2.61793,-1.05256,-4.19012,-0.737632,2.49387
0.092879819,-240.424,24.9087,23.7332,14.6328,2.88853,-4.42507,-5.45056,-3.67417,-6.17849,-3.88181,-3.39543,-6.20987,-0.397055,3.17492,-0.391474,3.37818,3.777,0.821996,-2.58907,-1.24403,0.729836
0.116099773,-267.168,38.1115,26.8505,18.2301,0.582301,3.64825,-5.76876,4.86201,-9.16642,-0.539576,-4.00823,-2.3897,-0.336054,5.87339,3.61254,6.28165,1.66232,1.06305,-0.986604,3.06398,-1.66166
0.139319728,-292.807,58.187,23.9429,13.7356,-2.30183,4.02026,0.551042,2.98466,-8.58123,-2.16241,0.948093,0.128416,0.00959385,5.0624,1.40082,4.90004,3.24346,3.38492,0.137911,1.99759,-0.565463
0.162539683,-295.501,50.6799,30.2968,15.9444,2.13331,4.84908,-4.71615,5.16168,-9.72855,-0.24343,-3.81507,-0.191028,-0.482079,5.00574,4.78485,5.74493,3.16581,0.614369,-1.99957,0.462023,-0.529111
0.185759637,-289.875,46.0539,30.053,15.2536,0.397057,5.40004,-3.97767,4.42445,-5.9167,-1.94173,-3.9629,0.0997702,0.449234,6.74519,5.93241,4.57011,4.53301,0.951454,-1.96958,0.659528,-1.54562
0.208979592,-294.463,45.1623,34.5369,12.7012,-0.184357,6.50583,-3.55455,3.68759,-4.85034,0.219312,-5.84668,0.470974,0.694094,7.6759,2.56722,7.22811,1.93485,2.41186,-1.85816,-1.0212,-0.316824
0.232199546,-235.572,40.8964,8.0038,6.61995,-0.957839,10.7184,-1.57214,-0.551989,-0.191734,0.225847,-2.5804,3.72258,0.884916,1.55006,2.16243,7.83921,3.26158,2.94438,-0.659795,0.403979,-2.457
0.255419501,-237.73,44.3629,4.21994,5.87969,-2.19218,14.6237,5.30862,-0.50984,-10.4515,3.87186,0.562077,3.76762,-2.55528,3.5377,2.89684,7.55483,-0.856822,2.1009,-1.56512,4.91993,-0.200913
0.278639456,-273.433,52.3043,11.9267,10.2707,-1.39331,11.3503,2.56622,-1.45414,-5.26328,4.49636,2.40701,2.44563,-3.35676,0.438763,3.07801,6.9441,1.99795,2.25044,-1.18819,1.90582,-0.480662
0.301859410,-287.743,56.3976,17.6407,9.60058,-2.72321,9.15862,4.12046,2.313,-6.70205,3.42746,3.04767,2.20195,-2.32055,-0.365423,0.452848,7.12879,-0.28363,2.0925,-0.414639,1.97639,-0.716546
0.325079365,-294.197,56.5479,19.7894,8.08096,-1.47653,8.23,2.64972,-0.40162,-4.46055,4.15742,4.04519,4.48947,-2.94384,0.87165,0.870746,6.83137,0.417722,0.641111,-0.258648,1.13868,0.173649
0.348299320,-309.464,62.9809,22.1623,8.26694,-0.463848,5.511,2.33356,-0.0324814,-2.90861,1.18031,3.70641,5.3692,1.97364,0.378921,2.06517,3.62137,0.147408,0.780394,-1.23698,-0.247598,0.627122
0.371519274,-320.63,62.9571,28.2385,7.70482,-0.608695,4.23674,3.44874,0.188537,-1.93804,1.40027,2.44339,5.173,1.59774,3.0681,3.6425,4.61328,-0.231742,-2.11004,-2.315,1.02888,0.533826
0.394739229,-168.666,21.8518,1.59957,2.70497,-7.16634,7.18983,1.78034,5.02009,-5.52845,0.146403,2.70015,8.21405,2.94952,1.19292,-0.754699,1.54738,2.96935,0.918858,-4.38804,0.879041,1.62805
0.417959184,-241.757,44.2374,10.6151,10.2746,-8.97211,4.79935,2.95467,1.92489,-2.52131,3.22368,-0.125847,5.00594,0.287273,4.64927,0.453263,4.78627,2.9337,4.90025,-1.06451,-1.03849,-0.727788
0.441179138,-258.134,48.8817,12.0028,11.6359,-9.81209,4.90099,3.25001,1.82526,-5.31999,1.81603,0.236648,6.41147,1.98562,4.97812,3.43344,6.1841,2.00382,4.16723,-0.709372,-0.291664,-1.26382
0.464399093,-273.908,53.6641,16.4878,10.57,-6.85297,5.85478,4.24236,1.09026,-6.31678,-0.0156319,-3.77949,6.32397,3.07772,5.20642,1.94274,7.31138,4.48955,4.03043,-2.75281,-0.272015,-2.14901
0.487619048,-286.074,56.5039,19.4762,11.0621,-4.32325,5.96338,3.48147,-0.0562219,-6.97375,-2.17583,-2.71092,5.66468,5.16336,3.54875,2.22583,7.724,4.02938,2.92038,0.249065,0.618955,-0.0212638
