TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,1.70046,0.0780807,0.4002,0.869147,0.0170548,0.0739216,1.56889,0.00853857,0.15081,0.417549,0.505842,1.86549
0.046439909,1.58118,0.0414279,0.301152,0.900591,0.020313,0.251597,1.26409,0.00602105,0.140737,0.413046,0.351718,2.05267
0.092879819,1.37382,0.122594,0.155196,0.897548,0.020443,0.565782,0.97371,0.00323525,0.123912,0.494693,0,2.07397
0.139319728,1.27496,0.304336,0.197284,0.767875,0.0208614,0.551017,0.880026,0.0469985,0.911773,0.237929,0,1.79722
0.185759637,0.192152,0.77869,1.20718,0.627339,0.0237378,0.388822,0.22101,0.762895,1.67703,0.137304,0.0633051,1.20228
0.232199546,0.0664385,0.779006,1.30981,1.31192,0.0239067,0.197312,0.143823,0.244681,0.165327,0.437834,0.497165,0.9973
0.278639456,0.146905,0.714215,1.0578,1.78696,0.369662,0.25007,0.267767,0.170078,0.0456092,0.475397,0.541596,0.59767
0.325079365,0.184704,0.580453,1.09002,1.77928,0.488771,0.330833,0.241459,0.149461,0.120919,0.500279,0.4938,0.457498
0.371519274,0.451309,0.693638,0.829531,1.28177,0.307489,0.125052,0.380006,0.452736,0.0121817,0.372388,0.152138,0.415339
0.417959184,0.764429,0.567051,0.605589,0.754258,0.141864,0.228634,0.397098,0.43267,0.445579,0.10293,0.030365,0.666823
0.464399093,1.15613,0.447986,0.732634,0.244802,0.13171,0.402382,0.758928,0.410651,0.898734,0.373739,0.203094,0.824226
0.510839002,1.25527,0.396292,0.562836,0.0171014,0.178243,0.691483,0.999419,0.37624,0.954692,0.273331,0.0444732,1.18128
0.557278912,0.94522,0.447448,0.319113,0.0151806,0.674771,0.860232,0.760557,0.49488,0.727579,0.0559061,0.0267442,1.31426
0.603718821,0.625102,0.750634,0.342333,0.0138923,0.732263,0.864949,0.319736,0.642588,0.702502,0,0.0254716,1.04886
0.650158730,0.447445,0.721195,0.931528,0.00787547,0.777877,0.733233,0,0.760708,1.10375,0,0.335027,0.891049
0.696598639,0.107018,0.880405,0.666521,0.0629311,0.465483,0.704869,0.373036,1.2346,0.454113,0.101113,0.399861,0.812843
0.743038549,0.229552,0.796072,0.625326,0.710262,0.379101,0.445326,0.440911,0.774048,0.342374,0.182903,0.242325,0.648944
0.789478458,0.194551,0.885269,0.569732,0.667947,0.275879,0.413899,0.334612,0.793173,0.359907,0.118779,0.271901,0.856351
0.835918367,0.472056,0.916381,0.678846,0.524999,0.211145,0.300389,0.205368,0.54209,0.436002,0.109023,0.411419,0.974317
0.882358277,0.661501,0.678151,0.752761,0.500622,0.0790855,0.0954372,1.11475,0.324107,0.0035477,0.112661,0.177168,1.19169
0.928798186,1.09171,0.426233,0.727755,0.744433,0.0901343,0.170866,1.25118,0.237526,0.126686,0.165724,0.092434,0.767105
0.975238095,0.93538,0.545845,0.291257,1.98042,0.384675,0.279792,1.27012,0.206789,0.086297,0.143639,0.0446282,0.644144
1.021678005,0.78548,0.606221,0.293134,2.25152,0.0460942,0.324692,1.25528,0.193941,0.130912,0.125913,0.078016,0.99333
1.068117914,0.851889,0.464484,0.240646,1.67115,0.0402857,0.301967,0.973706,0.160966,0.277568,0.101769,0.0830683,1.50759
1.114557823,0.61966,0.440874,0.255845,1.22565,0.538115,0.739574,0.725755,0.182649,0.382097,0.0179876,0.18572,1.35661
1.160997732,0.553175,0.648506,0.356776,1.34369,0.502026,0.771791,0.176863,0.270861,0.563518,0.0232339,0.620122,1.47545
1.207437642,0.41359,0.628498,0.33666,1.23464,0.454182,0.769623,0.164046,0.276328,0.851029,0.0187119,0.684804,1.53788
1.253877551,0.230945,0.595822,0.380273,1.11315,0.354169,0.811599,0.196364,0.381956,1.17167,0.0188199,0.772242,1.37613
1.300317460,0.282508,0.0502441,0.251779,0.369894,0.527527,0.832675,0.189128,0.209558,1.76707,0.114654,0.926573,1.06327
1.346757370,0.326719,0.0973908,0.129062,0,0.96357,0.790786,0.28034,0.21763,1.78226,0.130912,0.993614,1.12593
1.393197279,0.360889,0.191613,0.150355,0.018544,0.945809,0.848532,0.284281,0.186995,1.65147,0.129766,0.93659,1.31597
1.439637188,0.255466,0.143911,0.264189,0,0.900251,0.754672,0.303525,0.479244,1.74954,0.236437,0.988476,1.19382
1.486077098,1.00518,0.600587,0.180099,0.311057,0.32443,0.373155,0.486272,1.22111,0.509939,0.508691,0.247599,0.945112
1.532517007,1.13396,0.623475,0.219942,0.184474,0.781361,0.217528,0.260882,1.08067,0.188784,0.609399,0.194973,0.92422
1.578956916,0.700258,0.589291,0.582709,0.238434,1.0821,0.272844,0.290105,1.19921,0.0774928,0.797584,0.0680901,0.629418
1.625396825,0.327214,0.444294,1.35104,0.350287,1.15056,0.177982,0.256268,1.08504,0.729948,0.869738,0.0584066,0.320446
1.671836735,0.197337,0.0205414,1.32727,0.576518,0.834388,0.163351,0.41339,0.984672,1.02928,0.95431,0.0538611,0.164666
1.718276644,0.152349,0.0328079,1.25524,0.734291,0.680578,0.200684,0.402618,0.90452,0.998577,1.00533,0.0174137,0.141964
1.764716553,0.189329,0.0924959,1.00958,0.26679,0.734227,0.166584,0.542084,1.06311,0.913888,0.509901,0.000783368,0.0983842
1.811156463,0.775973,0.250721,0.914201,0.78451,1.68901,0.332609,0.579655,0.967816,0.352068,0.0444011,0.0432964,0.267598
1.857596372,0.864116,0.185915,0.751865,0.510573,2.20782,0.402436,0.63339,1.04474,0.394817,0.547199,0.527464,0.297502
1.904036281,0.509827,1.43318,0.198006,0.0119692,1.77727,0.394943,0.552604,0.624725,0.512947,0.967313,0.648216,0.805502
1.950476190,0.451576,1.90407,0.187381,0.00927471,0.529405,0.506244,0.421529,0.560276,0.727006,1.11838,0.673596,1.26295
1.996916100,0.406881,1.92113,0.118883,0.00181427,0.343003,0.585345,0.30802,0.551359,0.80044,1.32341,0.814377,1.33184
2.043356009,0.00945813,1.84162,0.657608,0.000157495,0.216286,0.38987,0.66939,0.640124,1.05878,0.952529,0.617401,1.24922
2.089795918,0,1.2068,1.96968,0.469393,0.111886,0.424502,0.468847,0.680682,0.943465,0.571509,0.128273,0.58566
2.136235828,0.0616947,0.702707,2.14923,0.578933,0.1277,0.448194,0.279302,0.326212,0.980982,1.24271,0.0666512,0.0803333
2.182675737,0.146464,0.67863,2.18637,0.456727,0.0851449,0.358969,0.303414,0.325369,1.02652,1.32828,0.0896076,0
2.229115646,0.453861,0.540727,2.34161,0.584917,0.0249113,0.312177,0.248623,0.384331,1.00461,0.860297,0,0
2.275555556,0.773628,0.193206,2.14727,1.04843,0.0576631,0.0727217,0.354508,0.981796,0.464954,0.162053,0.258708,0.691786
2.321995465,1.08861,0.209645,1.67106,1.28442,0.44104,0.201112,0.300291,0.742703,0.0946981,0.250381,0.24138,1.18633
2.368435374,0.874787,0.261417,1.34971,1.17181,0.637492,0.497185,0.274152,0.645083,0.19845,0.379588,0.434344,1.17759
2.414875283,0.751888,0.352243,1.02654,1.0771,0.844599,0.590382,0.312452,0.839756,0.143418,0.416283,0.442816,1.11151
2.461315193,0.583594,0.369762,0.527994,0.992978,0.845244,0.551974,0.332178,0.99031,0.0920716,0.57964,0.405267,1.1326
2.507755102,0.328529,0.61423,0.259042,0.803743,0.201299,0.333816,0.96111,0.7688,0.294126,0.301734,0.459978,0.706166
2.554195011,1.37357,0.249987,0.415708,0.970697,1.09508,0.421607,1.694,0.134199,0.497119,0.755323,0.803866,0.777971
2.600634921,1.1933,0.101167,0.382182,0.85601,1.33875,0.28519,1.58063,0.294712,0.828185,0.735373,0.814241,0.841096
2.647074830,0.832099,0.000246556,0.26144,0.529791,1.0791,0.166443,1.40096,0.64145,0.814498,0.970027,1.02779,0.861473
2.693514739,0.343084,0.123039,0.215688,0.0754174,0.675117,0.0540638,1.24261,0.811617,0.587301,0.954079,1.34411,1.11188
2.739954649,0.303194,0.55836,0.239286,0.0418643,0.299923,0.0889488,0.908111,0.770456,0.597618,0.824983,1.45945,1.21637
2.786394558,0.259627,0.679653,0.473176,0.0924547,0.291983,0.2032,0.806923,0.798077,0.635629,0.53638,1.48358,1.13187
2.832834467,0.265709,0.411556,0.223959,0.849689,0.432297,0.0397197,0.497535,0.54827,0.210147,0.517215,1.65395,1.52321
2.879274376,0.164904,0.471636,0.279592,0.784648,1.14865,0.328661,0.0505105,0.119579,0.147894,0.421409,1.6524,1.09678
2.925714286,0,0.502669,0.315705,0.730935,1.20175,0.95181,0.00424063,0.0887099,0.752901,0.350896,0.737536,0.872432
2.972154195,0,0.517684,0.488,0.557492,1.02164,1.04175,0.00376753,0.0664397,1.11481,0.345461,0.359308,0.910619
3.018594104,0.246889,0.73126,0.76561,0.176302,1.01403,0.951471,0,0.0653137,1.28291,0.3881,0.242213,0.837023
3.065034014,0.500562,0.655111,1.23807,0.0861676,0.318061,0.560797,0.0566239,1.24926,0.595737,0.321157,0.224341,0.703192
3.111473923,0.544754,0.750048,0.936018,0,0.706586,0.424797,0.067582,1.38378,0.225503,0.323493,0.229965,0.552244
3.157913832,0.192683,0.6192,1.09369,0.172851,0.775507,0.394243,0.0539796,1.61159,0.323036,0.348962,0.114698,0.545695
3.204353741,0.112739,0.491423,1.44774,0.417439,0.644827,0.130957,0.0551522,1.21088,0.700408,0.437665,0.109001,0.497206
3.250793651,0.206544,0.106317,1.39133,0.462942,0.593795,0.0779009,0.303096,1.0094,0.883749,0.587628,0.0867434,0.144464
3.297233560,0.191805,0.176047,1.29365,0.726687,0.555116,0.22813,0.419403,0.816,0.751959,0.77401,0.00308253,0.084107
3.343673469,0.230477,0.157411,1.02946,0.392977,0.806389,0.217351,0.55144,1.04135,0.636316,0.377782,0.000403522,0.089677
3.390113379,0.81775,0.307849,0.927592,0.772773,1.81648,0.436213,0.566951,1.06331,0.378543,0.155906,0.0871082,0.29652
3.436553288,0.456271,0.325017,0.602348,0.219027,2.19173,0.452872,0.59398,1.28998,0.505031,0.657036,0.675702,0.452948
3.482993197,0.129462,1.77435,0.213608,0.0132445,1.46334,0.528424,0.408262,0.592593,0.560722,1.02122,0.640243,1.03452
3.529433107,0.0609195,2.08739,0.206247,0.0125469,0.380192,0.560452,0.326594,0.56322,0.723805,1.05083,0.687969,1.37526
3.575873016,0.0198667,2.08269,0.114433,0.00696614,0.31732,0.587179,0.309633,0.630576,0.765039,1.224,0.86092,1.39796
3.622312925,0.00382916,1.98505,0.824088,0.313068,0.0387854,0.568458,0.770782,0.50961,1.19855,0.53516,0.356749,1.30078
3.668752834,0,1.17123,1.96381,0.62947,0.192253,0.689586,0.269944,0.446939,0.973079,0.855078,0,0.301064
3.715192744,0.0101096,0.761574,2.1327,0.587707,0.216078,0.490683,0.202567,0.293435,0.989617,1.15492,0.009724,0
3.761632653,0.174907,0.803846,2.1231,0.471136,0.204843,0.352541,0.141589,0.398573,1.00594,1.08704,0.00564547,0
3.808072562,0.610742,0.210986,2.13402,0.838367,0.0277774,0.118548,0.197301,0.47451,1.02874,0.562958,0,0.327139
3.854512472,0.807351,0.105624,2.11018,1.11001,0.070574,0.102242,0.465033,0.781769,0.428991,0.19797,0.358639,0.72751
3.900952381,1.10816,0.121111,1.44998,1.37977,0.404539,0.250603,0.382243,0.709767,0.114454,0.2898,0.310335,1.21275
3.947392290,0.796764,0.179531,1.24327,1.19123,0.652037,0.552676,0.371116,0.574291,0.224198,0.510732,0.44944,1.16094
3.993832200,0.651715,0.282088,0.891936,1.08769,0.808582,0.598574,0.482348,0.751943,0.128006,0.536283,0.468639,1.14334
